cccin;nom;" id_debiteur";type_deb;numero_doss;champ_test;second_champ;prenom;rc
983;test1;1;1;B77983;champ1;second1;test1;B77983
CD231490;test2;2;1;CD231490;champ2;second2;test2;CD231490
AB184014;test3;3;1;AB184014;champ3;second3;test3;AB184014
B656869;test4;4;1;B656869;champ4;second4;test4;B656869
I496780;test5;5;1;I496780;champ5;second5;test5;I496780
W134983;test6;6;1;W134983;champ6;second6;test6;W134983
F172423;test7;7;1;F172423;champ7;second7;test7;F172423
F533445;test8;8;1;F533445;champ8;second8;test8;F533445
B35932;test9;9;1;B35932;champ9;second9;test9;B35932
UC86071;test10;10;1;UC86071;champ10;second10;test10;UC86071
CD296;test11;11;1;CD296;champ11;second11;test11;CD296
JB309622;test12;12;1;JB309622;champ12;second12;test12;JB309622
A497437;test13;13;1;A497437;champ13;second13;test13;A497437
BB90892;test14;14;1;BB90892;champ14;second14;test14;BB90892
A392321;test15;15;1;A392321;champ15;second15;test15;A392321
VA103379;test16;16;1;VA103379;champ16;second16;test16;VA103379
W195790;test17;17;1;W195790;champ17;second17;test17;W195790
D854725;test18;18;1;D854725;champ18;second18;test18;D854725
B96626;test19;19;1;B96626;champ19;second19;test19;B96626
C559719;test20;20;1;C559719;champ20;second20;test20;C559719
BB89410;test21;21;1;BB89410;champ21;second21;test21;BB89410
H267070;test22;22;1;H267070;champ22;second22;test22;H267070
BB40152;test23;23;1;BB40152;champ23;second23;test23;BB40152
BE825596;test24;24;1;BE825596;champ24;second24;test24;BE825596
A396956;test25;25;1;A396956;champ25;second25;test25;A396956
F703985;test26;26;1;F703985;champ26;second26;test26;F703985
LE19299;test27;27;1;LE19299;champ27;second27;test27;LE19299
F401803;test28;28;1;F401803;champ28;second28;test28;F401803
M228917;test29;29;1;M228917;champ29;second29;test29;M228917
JK19337;test30;30;1;JK19337;champ30;second30;test30;JK19337
C182855;test31;31;1;C182855;champ31;second31;test31;C182855
D616632;test32;32;1;D616632;champ32;second32;test32;D616632
C45478;test33;33;1;C45478;champ33;second33;test33;C45478
