cin;nom; id_debiteur;type_deb;numero_doss;champ_test;second_champ;prenom;rc
X6083;test68;68;1;X6083;champ68;second68;test68;X6083
EA1248;test69;69;1;EA1248;champ69;second69;test69;EA1248
X42499;test70;70;1;X42499;champ70;second70;test70;X42499
F213414;test71;71;1;F213414;champ71;second71;test71;F213414
M171196;test72;72;1;M171196;champ72;second72;test72;M171196
M31440;test73;73;1;M31440;champ73;second73;test73;M31440
D16612;test74;74;1;D16612;champ74;second74;test74;D16612
M9820;test75;75;1;M9820;champ75;second75;test75;M9820
T28859;test76;76;1;T28859;champ76;second76;test76;T28859
Q25273;test77;77;1;Q25273;champ77;second77;test77;Q25273
DA14024;test78;78;1;DA14024;champ78;second78;test78;DA14024
DA4618;test79;79;1;DA4618;champ79;second79;test79;DA4618
ZZ68840;test80;80;1;ZZ68840;champ80;second80;test80;ZZ68840
M6615;test81;81;1;M6615;champ81;second81;test81;M6615
G4920;test82;82;1;G4920;champ82;second82;test82;G4920
G114268;test83;83;1;G114268;champ83;second83;test83;G114268
J102274;test84;84;1;J102274;champ84;second84;test84;J102274
M21915;test85;85;1;M21915;champ85;second85;test85;M21915
G34029;test86;86;1;G34029;champ86;second86;test86;G34029
C252786;test87;87;1;C252786;champ87;second87;test87;C252786
ZZ22830;test88;88;1;ZZ22830;champ88;second88;test88;ZZ22830
Z2895;test89;89;1;Z2895;champ89;second89;test89;Z2895
H130446;test90;90;1;H130446;champ90;second90;test90;H130446
M123;test91;91;1;M123;champ91;second91;test91;M123
D24584;test92;92;1;D24584;champ92;second92;test92;D24584
D188118;test93;93;1;D188118;champ93;second93;test93;D188118
J109557;test94;94;1;J109557;champ94;second94;test94;J109557
C421053-C6;test95;95;1;C421053-C6;champ95;second95;test95;C421053-C6
M43351;test96;96;1;M43351;champ96;second96;test96;M43351
D465184;test97;97;1;D465184;champ97;second97;test97;D465184
C6347;test98;98;1;C6347;champ98;second98;test98;C6347
Z24588;test99;99;1;Z24588;champ99;second99;test99;Z24588
