numero_creance;type_creance;nature_creance;total;restant;cin;id_debiteur;numero_dossier;restant

431000000000000_1;1;;63410.42;63410.42;B77983_1;1;B77983_1;63410.42
4310000000000000_2;1;;55185.85;55185.85;CD231490_2;2;CD231490_2;55185.85
431000000000000_2;1;;123077.81;123077.81;B77983_2;3;B77983_2;123077.81
4310000000000000_3;1;;10145.62;10145.62;CD231490_3;4;CD231490_3;10145.62
431000000000000_3;1;;33342.72;33342.72;B77983_3;5;B77983_3;33342.72
4310000000000000_4;1;;2288;2288;CD231490_4;6;CD231490_4;2288
431000000000000_4;1;;4701;4701;B77983_4;7;B77983_4;4701
4310000000000000_5;1;;7348.11;7348.11;CD231490_5;8;CD231490_5;7348.11
431000000000000_5;1;;1802.95;1802.95;B77983_5;9;B77983_5;1802.95
4310000000000000_6;1;;5429.46;5429.46;CD231490_6;10;CD231490_6;5429.46
431000000000000_6;1;;80039.26;62039.26;B77983_6;11;B77983_6;62039.26
4310000000000000_7;1;;93086.8;93086.8;CD231490_7;12;CD231490_7;93086.8
431000000000000_7;1;;10332.46;10332.46;B77983_7;13;B77983_7;10332.46
4310000000000000_8;1;;93945.56;93945.56;CD231490_8;14;CD231490_8;93945.56
431000000000000_8;1;;1493.8;1493.8;B77983_8;15;B77983_8;1493.8
4310000000000000_9;1;;2290.3;2290.3;CD231490_9;16;CD231490_9;2290.3
431000000000000_9;1;;257661.24;224861.24;B77983_9;17;B77983_9;224861.24
4310000000000000_10;1;;2262.4;2262.4;CD231490_10;18;CD231490_10;2262.4
431000000000000_10;1;;79040.29;29540.29;B77983_10;19;B77983_10;29540.29
4310000000000000_11;1;;102020.4;34981.4;CD231490_11;20;CD231490_11;34981.4
431000000000000_11;1;;97593.14;97593.14;B77983_11;21;B77983_11;97593.14
4310000000000000_12;1;;336928.72;276928.72;CD231490_12;22;CD231490_12;276928.72
431000000000000_12;1;;57971.69;57971.69;B77983_12;23;B77983_12;57971.69
4310000000000000_13;1;;9174.04;9174.04;CD231490_13;24;CD231490_13;9174.04
431000000000000_13;1;;95550.59;23887.59;B77983_13;25;B77983_13;23887.59
4310000000000000_14;1;;5322;5322;CD231490_14;26;CD231490_14;5322
431000000000000_14;1;;114659.98;114659.98;B77983_14;27;B77983_14;114659.98
4310000000000000_15;1;;15300.08;15300.08;CD231490_15;28;CD231490_15;15300.08
431000000000000_15;1;;12102.05;2405.05;B77983_15;29;B77983_15;2405.05
4310000000000000_16;1;;50894.19;50894.19;CD231490_16;30;CD231490_16;50894.19
431000000000000_16;1;;5235.94;5235.94;B77983_16;31;B77983_16;5235.94
4310000000000000_17;1;;192011.16;192011.16;CD231490_17;32;CD231490_17;192011.16
431000000000000_17;1;;1786.8;1786.8;B77983_17;33;B77983_17;1786.8
4310000000000000_18;1;;87883;87883;CD231490_18;34;CD231490_18;87883
431000000000000_18;1;;36144.07;36144.07;B77983_18;35;B77983_18;36144.07
4310000000000000_19;1;;83979.53;83979.53;CD231490_19;36;CD231490_19;83979.53
431000000000000_19;1;;56158.18;56158.18;B77983_19;37;B77983_19;56158.18
4310000000000000_20;1;;127196.31;127196.31;CD231490_20;38;CD231490_20;127196.31
431000000000000_20;1;;7.201.849.999.999.990;37.206.099.999.999.900;B77983_20;39;B77983_20;37.206.099.999.999.900
4310000000000000_21;1;;14772.36;11107.02;CD231490_21;40;CD231490_21;11107.02
431000000000000_21;1;;92825.83;92825.83;B77983_21;41;B77983_21;92825.83
4310000000000000_22;1;;2084.6;1585.6;CD231490_22;42;CD231490_22;1585.6
431000000000000_22;1;;10183.16;10183.16;B77983_22;43;B77983_22;10183.16
4310000000000000_23;1;;20110.07;17860.07;CD231490_23;44;CD231490_23;17860.07
431000000000000_23;1;;5241;0;B77983_23;45;B77983_23;0
4310000000000000_24;1;;60454.17;60454.17;CD231490_24;46;CD231490_24;60454.17
431000000000000_24;1;;51175.14;51175.14;B77983_24;47;B77983_24;51175.14
4310000000000000_25;1;;307048.33;307048.33;CD231490_25;48;CD231490_25;307048.33
431000000000000_25;1;;253628.27;253628.27;B77983_25;49;B77983_25;253628.27
4310000000000000_26;1;;957.8;957.8;CD231490_26;50;CD231490_26;957.8
431000000000000_26;1;;10235.05;10235.05;B77983_26;51;B77983_26;10235.05
4310000000000000_27;1;;102349.66;102349.66;CD231490_27;52;CD231490_27;102349.66
431000000000000_27;1;;15490.5;14290.5;B77983_27;53;B77983_27;14290.5
4310000000000000_28;1;;246797.57;246797.57;CD231490_28;54;CD231490_28;246797.57
431000000000000_28;1;;101423.35;101423.35;B77983_28;55;B77983_28;101423.35
4310000000000000_29;1;;169362.64;117851.25;CD231490_29;56;CD231490_29;117851.25
431000000000000_29;1;;146673.38;140673.38;B77983_29;57;B77983_29;140673.38
4310000000000000_30;1;;142505.91;142505.91;CD231490_30;58;CD231490_30;142505.91
431000000000000_30;1;;30.726.351.999.999.900;30.726.351.999.999.900;B77983_30;59;B77983_30;30.726.351.999.999.900
4310000000000000_31;1;;214985.92;214985.92;CD231490_31;60;CD231490_31;214985.92
431000000000000_31;1;;100000;100000;B77983_31;61;B77983_31;100000
4310000000000000_32;1;;100000;100000;CD231490_32;62;CD231490_32;100000
431000000000000_32;1;;632889.06;632889.06;B77983_32;63;B77983_32;632889.06
4310000000000000_33;1;;631070.41;631070.41;CD231490_33;64;CD231490_33;631070.41
431000000000000_33;1;;610210.55;610210.55;B77983_33;65;B77983_33;610210.55
4310000000000000_34;1;;609229.86;609229.86;CD231490_34;66;CD231490_34;609229.86
431000000000000_34;1;;596982.82;596982.82;B77983_34;67;B77983_34;596982.82
4310000000000000_35;1;;593180.44;593180.44;CD231490_35;68;CD231490_35;593180.44
431000000000000_35;1;;592645.98;592645.98;B77983_35;69;B77983_35;592645.98
4310000000000000_36;1;;564089.94;564089.94;CD231490_36;70;CD231490_36;564089.94
431000000000000_36;1;;561521.61;561521.61;B77983_36;71;B77983_36;561521.61
4310000000000000_37;1;;555682.81;555682.81;CD231490_37;72;CD231490_37;555682.81
431000000000000_37;1;;550925.14;550925.14;B77983_37;73;B77983_37;550925.14
4310000000000000_38;1;;546231.22;546231.22;CD231490_38;74;CD231490_38;546231.22
431000000000000_38;1;;533088.76;533088.76;B77983_38;75;B77983_38;533088.76
4310000000000000_39;1;;530008.39;530008.39;CD231490_39;76;CD231490_39;530008.39
431000000000000_39;1;;529175.26;529175.26;B77983_39;77;B77983_39;529175.26
4310000000000000_40;1;;520822.62;520822.62;CD231490_40;78;CD231490_40;520822.62
431000000000000_40;1;;516925.53;516925.53;B77983_40;79;B77983_40;516925.53
4310000000000000_41;1;;506477.06;506477.06;CD231490_41;80;CD231490_41;506477.06
431000000000000_41;1;;488435.25;488435.25;B77983_41;81;B77983_41;488435.25
4310000000000000_42;1;;488132.17;488132.17;CD231490_42;82;CD231490_42;488132.17
431000000000000_42;1;;483876.22;483876.22;B77983_42;83;B77983_42;483876.22
4310000000000000_43;1;;483048.77;483048.77;CD231490_43;84;CD231490_43;483048.77
431000000000000_43;1;;482021.8;482021.8;B77983_43;85;B77983_43;482021.8
4310000000000000_44;1;;481821.25;481821.25;CD231490_44;86;CD231490_44;481821.25
431000000000000_44;1;;478932.52;478932.52;B77983_44;87;B77983_44;478932.52
4310000000000000_45;1;;478263.29;478263.29;CD231490_45;88;CD231490_45;478263.29
431000000000000_45;1;;477668.75;477668.75;B77983_45;89;B77983_45;477668.75
4310000000000000_46;1;;476364.67;476364.67;CD231490_46;90;CD231490_46;476364.67
431000000000000_46;1;;475140.87;475140.87;B77983_46;91;B77983_46;475140.87
4310000000000000_47;1;;471934.46;471934.46;CD231490_47;92;CD231490_47;471934.46
431000000000000_47;1;;464936.82;464936.82;B77983_47;93;B77983_47;464936.82
4310000000000000_48;1;;463885.35;463885.35;CD231490_48;94;CD231490_48;463885.35
431000000000000_48;1;;461741.75;461741.75;B77983_48;95;B77983_48;461741.75
4310000000000000_49;1;;461636.21;461636.21;CD231490_49;96;CD231490_49;461636.21
431000000000000_49;1;;460110.34;460110.34;B77983_49;97;B77983_49;460110.34
4310000000000000_50;1;;459691.23;459691.23;CD231490_50;98;CD231490_50;459691.23
431000000000000_50;1;;447208.96;447208.96;B77983_50;99;B77983_50;447208.96
