numero_dossier;nom_donneur_order;id_debiteur;dossier_id;cin

B77983_1;BMCI;1;74292;B77983_1
CD231490_2;BMCI;2;74293;CD231490_2
B77983_2;BMCI;3;74294;B77983_2
CD231490_3;BMCI;4;74296;CD231490_3
B77983_3;BMCI;5;74297;B77983_3
CD231490_4;BMCI;6;74298;CD231490_4
B77983_4;BMCI;7;74299;B77983_4
CD231490_5;BMCI;8;74300;CD231490_5
B77983_5;BMCI;9;74301;B77983_5
CD231490_6;BMCI;10;74302;CD231490_6
B77983_6;BMCI;11;74303;B77983_6
CD231490_7;BMCI;12;74304;CD231490_7
B77983_7;BMCI;13;74305;B77983_7
CD231490_8;BMCI;14;74306;CD231490_8
B77983_8;BMCI;15;74308;B77983_8
CD231490_9;BMCI;16;74310;CD231490_9
B77983_9;BMCI;17;74312;B77983_9
CD231490_10;BMCI;18;74316;CD231490_10
B77983_10;BMCI;19;74317;B77983_10
CD231490_11;BMCI;20;74318;CD231490_11
B77983_11;BMCI;21;74321;B77983_11
CD231490_12;BMCI;22;74324;CD231490_12
B77983_12;BMCI;23;74326;B77983_12
CD231490_13;BMCI;24;74327;CD231490_13
B77983_13;BMCI;25;74328;B77983_13
CD231490_14;BMCI;26;74329;CD231490_14
B77983_14;BMCI;27;74330;B77983_14
CD231490_15;BMCI;28;74335;CD231490_15
B77983_15;BMCI;29;74336;B77983_15
CD231490_16;BMCI;30;74339;CD231490_16
B77983_16;BMCI;31;74340;B77983_16
CD231490_17;BMCI;32;74342;CD231490_17
B77983_17;BMCI;33;74343;B77983_17
CD231490_18;BMCI;34;74344;CD231490_18
B77983_18;BMCI;35;74345;B77983_18
CD231490_19;BMCI;36;74349;CD231490_19
B77983_19;BMCI;37;74350;B77983_19
CD231490_20;BMCI;38;74352;CD231490_20
B77983_20;BMCI;39;74354;B77983_20
CD231490_21;BMCI;40;74357;CD231490_21
B77983_21;BMCI;41;74360;B77983_21
CD231490_22;BMCI;42;74363;CD231490_22
B77983_22;BMCI;43;74366;B77983_22
CD231490_23;BMCI;44;74368;CD231490_23
B77983_23;BMCI;45;74370;B77983_23
CD231490_24;BMCI;46;74371;CD231490_24
B77983_24;BMCI;47;74373;B77983_24
CD231490_25;BMCI;48;74374;CD231490_25
B77983_25;BMCI;49;74377;B77983_25
CD231490_26;BMCI;50;74379;CD231490_26
B77983_26;BMCI;51;74381;B77983_26
CD231490_27;BMCI;52;74384;CD231490_27
B77983_27;BMCI;53;74386;B77983_27
CD231490_28;BMCI;54;74388;CD231490_28
B77983_28;BMCI;55;74391;B77983_28
CD231490_29;BMCI;56;74392;CD231490_29
B77983_29;BMCI;57;74393;B77983_29
CD231490_30;BMCI;58;74395;CD231490_30
B77983_30;BMCI;59;74396;B77983_30
CD231490_31;BMCI;60;74397;CD231490_31
B77983_31;CAM;61;75409;B77983_31
CD231490_32;CAM;62;75410;CD231490_32
B77983_32;CAM;63;75412;B77983_32
CD231490_33;CAM;64;75413;CD231490_33
B77983_33;CAM;65;75414;B77983_33
CD231490_34;CAM;66;75415;CD231490_34
B77983_34;CAM;67;75416;B77983_34
CD231490_35;CAM;68;75417;CD231490_35
B77983_35;CAM;69;75418;B77983_35
CD231490_36;CAM;70;75419;CD231490_36
B77983_36;CAM;71;75420;B77983_36
CD231490_37;CAM;72;75421;CD231490_37
B77983_37;CAM;73;75422;B77983_37
CD231490_38;CAM;74;75423;CD231490_38
B77983_38;CAM;75;75424;B77983_38
CD231490_39;CAM;76;75425;CD231490_39
B77983_39;CAM;77;75426;B77983_39
CD231490_40;CAM;78;75427;CD231490_40
B77983_40;CAM;79;75428;B77983_40
CD231490_41;CAM;80;75429;CD231490_41
B77983_41;CAM;81;75430;B77983_41
CD231490_42;CAM;82;75431;CD231490_42
B77983_42;CAM;83;75432;B77983_42
CD231490_43;CAM;84;75433;CD231490_43
B77983_43;CAM;85;75434;B77983_43
CD231490_44;CAM;86;75435;CD231490_44
B77983_44;CAM;87;75436;B77983_44
CD231490_45;CAM;88;75437;CD231490_45
B77983_45;CAM;89;75438;B77983_45
CD231490_46;CAM;90;75439;CD231490_46
B77983_46;CAM;91;75440;B77983_46
CD231490_47;CAM;92;75441;CD231490_47
B77983_47;CAM;93;75442;B77983_47
CD231490_48;CAM;94;75443;CD231490_48
B77983_48;CAM;95;75444;B77983_48
CD231490_49;CAM;96;75445;CD231490_49
B77983_49;CAM;97;75446;B77983_49
CD231490_50;CAM;98;75447;CD231490_50
B77983_50;CAM;99;75448;B77983_50
