debiteur_nom;id_debiteur;cin;type_debiteur;numero_dossier

SOUARTI MOULAY MUSTAPHA_1;1;B77983_1;1;B77983_1
ATIF MOHAMMED_2;2;CD231490_2;1;CD231490_2
SOUARTI MOULAY MUSTAPHA_2;3;B77983_2;1;B77983_2
ATIF MOHAMMED_3;4;CD231490_3;1;CD231490_3
SOUARTI MOULAY MUSTAPHA_3;5;B77983_3;1;B77983_3
ATIF MOHAMMED_4;6;CD231490_4;1;CD231490_4
SOUARTI MOULAY MUSTAPHA_4;7;B77983_4;1;B77983_4
ATIF MOHAMMED_5;8;CD231490_5;1;CD231490_5
SOUARTI MOULAY MUSTAPHA_5;9;B77983_5;1;B77983_5
ATIF MOHAMMED_6;10;CD231490_6;1;CD231490_6
SOUARTI MOULAY MUSTAPHA_6;11;B77983_6;1;B77983_6
ATIF MOHAMMED_7;12;CD231490_7;1;CD231490_7
SOUARTI MOULAY MUSTAPHA_7;13;B77983_7;1;B77983_7
ATIF MOHAMMED_8;14;CD231490_8;1;CD231490_8
SOUARTI MOULAY MUSTAPHA_8;15;B77983_8;1;B77983_8
ATIF MOHAMMED_9;16;CD231490_9;1;CD231490_9
SOUARTI MOULAY MUSTAPHA_9;17;B77983_9;1;B77983_9
ATIF MOHAMMED_10;18;CD231490_10;1;CD231490_10
SOUARTI MOULAY MUSTAPHA_10;19;B77983_10;1;B77983_10
ATIF MOHAMMED_11;20;CD231490_11;1;CD231490_11
SOUARTI MOULAY MUSTAPHA_11;21;B77983_11;1;B77983_11
ATIF MOHAMMED_12;22;CD231490_12;1;CD231490_12
SOUARTI MOULAY MUSTAPHA_12;23;B77983_12;1;B77983_12
ATIF MOHAMMED_13;24;CD231490_13;1;CD231490_13
SOUARTI MOULAY MUSTAPHA_13;25;B77983_13;1;B77983_13
ATIF MOHAMMED_14;26;CD231490_14;1;CD231490_14
SOUARTI MOULAY MUSTAPHA_14;27;B77983_14;1;B77983_14
ATIF MOHAMMED_15;28;CD231490_15;1;CD231490_15
SOUARTI MOULAY MUSTAPHA_15;29;B77983_15;1;B77983_15
ATIF MOHAMMED_16;30;CD231490_16;1;CD231490_16
SOUARTI MOULAY MUSTAPHA_16;31;B77983_16;1;B77983_16
ATIF MOHAMMED_17;32;CD231490_17;1;CD231490_17
SOUARTI MOULAY MUSTAPHA_17;33;B77983_17;1;B77983_17
ATIF MOHAMMED_18;34;CD231490_18;1;CD231490_18
SOUARTI MOULAY MUSTAPHA_18;35;B77983_18;1;B77983_18
ATIF MOHAMMED_19;36;CD231490_19;1;CD231490_19
SOUARTI MOULAY MUSTAPHA_19;37;B77983_19;1;B77983_19
ATIF MOHAMMED_20;38;CD231490_20;1;CD231490_20
SOUARTI MOULAY MUSTAPHA_20;39;B77983_20;1;B77983_20
ATIF MOHAMMED_21;40;CD231490_21;1;CD231490_21
SOUARTI MOULAY MUSTAPHA_21;41;B77983_21;1;B77983_21
ATIF MOHAMMED_22;42;CD231490_22;1;CD231490_22
SOUARTI MOULAY MUSTAPHA_22;43;B77983_22;1;B77983_22
ATIF MOHAMMED_23;44;CD231490_23;1;CD231490_23
SOUARTI MOULAY MUSTAPHA_23;45;B77983_23;1;B77983_23
ATIF MOHAMMED_24;46;CD231490_24;1;CD231490_24
SOUARTI MOULAY MUSTAPHA_24;47;B77983_24;1;B77983_24
ATIF MOHAMMED_25;48;CD231490_25;1;CD231490_25
SOUARTI MOULAY MUSTAPHA_25;49;B77983_25;1;B77983_25
ATIF MOHAMMED_26;50;CD231490_26;1;CD231490_26
SOUARTI MOULAY MUSTAPHA_26;51;B77983_26;1;B77983_26
ATIF MOHAMMED_27;52;CD231490_27;1;CD231490_27
SOUARTI MOULAY MUSTAPHA_27;53;B77983_27;1;B77983_27
ATIF MOHAMMED_28;54;CD231490_28;1;CD231490_28
SOUARTI MOULAY MUSTAPHA_28;55;B77983_28;1;B77983_28
ATIF MOHAMMED_29;56;CD231490_29;1;CD231490_29
SOUARTI MOULAY MUSTAPHA_29;57;B77983_29;1;B77983_29
ATIF MOHAMMED_30;58;CD231490_30;1;CD231490_30
SOUARTI MOULAY MUSTAPHA_30;59;B77983_30;1;B77983_30
ATIF MOHAMMED_31;60;CD231490_31;1;CD231490_31
SOUARTI MOULAY MUSTAPHA_31;61;B77983_31;1;B77983_31
ATIF MOHAMMED_32;62;CD231490_32;1;CD231490_32
SOUARTI MOULAY MUSTAPHA_32;63;B77983_32;1;B77983_32
ATIF MOHAMMED_33;64;CD231490_33;1;CD231490_33
SOUARTI MOULAY MUSTAPHA_33;65;B77983_33;1;B77983_33
ATIF MOHAMMED_34;66;CD231490_34;1;CD231490_34
SOUARTI MOULAY MUSTAPHA_34;67;B77983_34;1;B77983_34
ATIF MOHAMMED_35;68;CD231490_35;1;CD231490_35
SOUARTI MOULAY MUSTAPHA_35;69;B77983_35;1;B77983_35
ATIF MOHAMMED_36;70;CD231490_36;1;CD231490_36
SOUARTI MOULAY MUSTAPHA_36;71;B77983_36;1;B77983_36
ATIF MOHAMMED_37;72;CD231490_37;1;CD231490_37
SOUARTI MOULAY MUSTAPHA_37;73;B77983_37;1;B77983_37
ATIF MOHAMMED_38;74;CD231490_38;1;CD231490_38
SOUARTI MOULAY MUSTAPHA_38;75;B77983_38;1;B77983_38
ATIF MOHAMMED_39;76;CD231490_39;1;CD231490_39
SOUARTI MOULAY MUSTAPHA_39;77;B77983_39;1;B77983_39
ATIF MOHAMMED_40;78;CD231490_40;1;CD231490_40
SOUARTI MOULAY MUSTAPHA_40;79;B77983_40;1;B77983_40
ATIF MOHAMMED_41;80;CD231490_41;1;CD231490_41
SOUARTI MOULAY MUSTAPHA_41;81;B77983_41;2;B77983_41
ATIF MOHAMMED_42;82;CD231490_42;2;CD231490_42
SOUARTI MOULAY MUSTAPHA_42;83;B77983_42;2;B77983_42
ATIF MOHAMMED_43;84;CD231490_43;2;CD231490_43
SOUARTI MOULAY MUSTAPHA_43;85;B77983_43;2;B77983_43
ATIF MOHAMMED_44;86;CD231490_44;2;CD231490_44
SOUARTI MOULAY MUSTAPHA_44;87;B77983_44;2;B77983_44
ATIF MOHAMMED_45;88;CD231490_45;2;CD231490_45
SOUARTI MOULAY MUSTAPHA_45;89;B77983_45;2;B77983_45
ATIF MOHAMMED_46;90;CD231490_46;2;CD231490_46
SOUARTI MOULAY MUSTAPHA_46;91;B77983_46;2;B77983_46
ATIF MOHAMMED_47;92;CD231490_47;2;CD231490_47
SOUARTI MOULAY MUSTAPHA_47;93;B77983_47;2;B77983_47
ATIF MOHAMMED_48;94;CD231490_48;2;CD231490_48
SOUARTI MOULAY MUSTAPHA_48;95;B77983_48;2;B77983_48
ATIF MOHAMMED_49;96;CD231490_49;2;CD231490_49
SOUARTI MOULAY MUSTAPHA_49;97;B77983_49;2;B77983_49
ATIF MOHAMMED_50;98;CD231490_50;2;CD231490_50
SOUARTI MOULAY MUSTAPHA_50;99;B77983_50;2;B77983_50
