debiteur_nom;id_debiteur;cin;type_debiteur;numero_dossier
SOUARTI MOULAY MUSTAPHA_34;67;B77983_34;1;B77983_34
ATIF MOHAMMED_35;68;CD231490_35;1;CD231490_35
SOUARTI MOULAY MUSTAPHA_35;69;B77983_35;1;B77983_35
ATIF MOHAMMED_36;70;CD231490_36;1;CD231490_36
SOUARTI MOULAY MUSTAPHA_36;71;B77983_36;1;B77983_36
ATIF MOHAMMED_37;72;CD231490_37;1;CD231490_37
SOUARTI MOULAY MUSTAPHA_37;73;B77983_37;1;B77983_37
ATIF MOHAMMED_38;74;CD231490_38;1;CD231490_38
SOUARTI MOULAY MUSTAPHA_38;75;B77983_38;1;B77983_38
ATIF MOHAMMED_39;76;CD231490_39;1;CD231490_39
SOUARTI MOULAY MUSTAPHA_39;77;B77983_39;1;B77983_39
ATIF MOHAMMED_40;78;CD231490_40;1;CD231490_40
SOUARTI MOULAY MUSTAPHA_40;79;B77983_40;1;B77983_40
ATIF MOHAMMED_41;80;CD231490_41;1;CD231490_41
SOUARTI MOULAY MUSTAPHA_41;81;B77983_41;2;B77983_41
ATIF MOHAMMED_42;82;CD231490_42;2;CD231490_42
SOUARTI MOULAY MUSTAPHA_42;83;B77983_42;2;B77983_42
ATIF MOHAMMED_43;84;CD231490_43;2;CD231490_43
SOUARTI MOULAY MUSTAPHA_43;85;B77983_43;2;B77983_43
ATIF MOHAMMED_44;86;CD231490_44;2;CD231490_44
SOUARTI MOULAY MUSTAPHA_44;87;B77983_44;2;B77983_44
ATIF MOHAMMED_45;88;CD231490_45;2;CD231490_45
SOUARTI MOULAY MUSTAPHA_45;89;B77983_45;2;B77983_45
ATIF MOHAMMED_46;90;CD231490_46;2;CD231490_46
SOUARTI MOULAY MUSTAPHA_46;91;B77983_46;2;B77983_46
ATIF MOHAMMED_47;92;CD231490_47;2;CD231490_47
SOUARTI MOULAY MUSTAPHA_47;93;B77983_47;2;B77983_47
ATIF MOHAMMED_48;94;CD231490_48;2;CD231490_48
SOUARTI MOULAY MUSTAPHA_48;95;B77983_48;2;B77983_48
ATIF MOHAMMED_49;96;CD231490_49;2;CD231490_49
SOUARTI MOULAY MUSTAPHA_49;97;B77983_49;2;B77983_49
ATIF MOHAMMED_50;98;CD231490_50;2;CD231490_50
SOUARTI MOULAY MUSTAPHA_50;99;B77983_50;2;B77983_50
