cin;nom;prenom;raison_social;fax;date_naissance;lieu_naissance;cin_formate;email;type_personne;cle_identifiant;rc
rc
ABCD159;DKDJEKHJK;;ddd;;2023-10-02;;STEALITOPDEVELOPPEMENT;debemail.com@gmail.com;"Personne physique";159Z24588NAIMIABDESLAM;
B779831;"SOUARTI MOULAY MUSTAPHA_1";;;;0000-00-00;;B77983_1;;"Personne morale";B779831SOUARTIMOULAYMUSTAPHA1;
CD2314902;"ATIF MOHAMMED_2";;;;0000-00-00;;CD231490_2;;"Personne morale";CD2314902ATIFMOHAMMED2;
B779832;"SOUARTI MOULAY MUSTAPHA_2";;;;0000-00-00;;B77983_2;;"Personne morale";B779832SOUARTIMOULAYMUSTAPHA2;
CD2314903;"ATIF MOHAMMED_3";;;;0000-00-00;;CD231490_3;;"Personne morale";CD2314903ATIFMOHAMMED3;
B779833;"SOUARTI MOULAY MUSTAPHA_3";;;;0000-00-00;;B77983_3;;"Personne morale";B779833SOUARTIMOULAYMUSTAPHA3;
CD2314904;"ATIF MOHAMMED_4";;;;0000-00-00;;CD231490_4;;"Personne morale";CD2314904ATIFMOHAMMED4;
B779834;"SOUARTI MOULAY MUSTAPHA_4";;;;0000-00-00;;B77983_4;;"Personne morale";B779834SOUARTIMOULAYMUSTAPHA4;
CD2314905;"ATIF MOHAMMED_5";;;;0000-00-00;;CD231490_5;;"Personne morale";CD2314905ATIFMOHAMMED5;
B779835;"SOUARTI MOULAY MUSTAPHA_5";;;;0000-00-00;;B77983_5;;"Personne morale";B779835SOUARTIMOULAYMUSTAPHA5;
CD2314906;"ATIF MOHAMMED_6";;;;0000-00-00;;CD231490_6;;"Personne morale";CD2314906ATIFMOHAMMED6;
B779836;"SOUARTI MOULAY MUSTAPHA_6";;;;0000-00-00;;B77983_6;;"Personne morale";B779836SOUARTIMOULAYMUSTAPHA6;
CD2314907;"ATIF MOHAMMED_7";;;;0000-00-00;;CD231490_7;;"Personne morale";CD2314907ATIFMOHAMMED7;
B779837;"SOUARTI MOULAY MUSTAPHA_7";;;;0000-00-00;;B77983_7;;"Personne morale";B779837SOUARTIMOULAYMUSTAPHA7;
CD2314908;"ATIF MOHAMMED_8";;;;0000-00-00;;CD231490_8;;"Personne morale";CD2314908ATIFMOHAMMED8;
B779838;"SOUARTI MOULAY MUSTAPHA_8";;;;0000-00-00;;B77983_8;;"Personne morale";B779838SOUARTIMOULAYMUSTAPHA8;
CD2314909;"ATIF MOHAMMED_9";;;;0000-00-00;;CD231490_9;;"Personne morale";CD2314909ATIFMOHAMMED9;
