num_creance;type_creance;interet;nom;num_dossier;cin;nature_crean;total_crean;date____echan;addr;ville;interet2;Type_debiteur
44936998;19/99235;ASSURANCES AL HASSANIA;STE ALITOP DEVELOPPEMENT;STEALITOPDEVELOPPEMENT;STEALITOPDEVELOPPEMENT;ACCIDENTS DE TRAVAIL;11040;01/01/2022;2 LOT GROUPE ATTAKADDOUM GH2 17 2EME ETG;CASABLANCA;89549;Emprunteur
44940453;19/98495;ALINQAD Assurance s.a.r.l ;ECO   SAFE ENGINEERING CONSTRUCTION ;ECOSAFEENGINEERINGCONSTRUCTION;ECOSAFEENGINEERINGCONSTRUCTION;ACCIDENTS DE TRAVAIL;18432;01/01/2022;4 Cite RIAD AL ANDALOUS RESIDENCE RANDA ;CASABLANCA;89496;Emprunteur
44934430;19/99224;ASSURANCES AL HASSANIA;STE INDUS COMASER ;STEINDUSCOMASER;STEINDUSCOMASER;ACCIDENTS DE TRAVAIL;11040;01/01/2022;277 BOULEVARD OUED EL MAKHAZINEEL ALIA;MOHAMMADIA;89547;Emprunteur
44934855;19/94931;ASSURANCES AL HASSANIA;STE ACHRAL LHOU SARL;STEACHRALLHOUSARL;STEACHRALLHOUSARL;ACCIDENTS DE TRAVAIL;11040;01/01/2022;144 DERB CHABAB A EL ALIA ;MOHAMMADIA;85380;Emprunteur
98079444;39/1426;SKAY ASSURANCES ;ASSOCIATION ANTLS PC STE ZOUGHI LOGISTIC;ASSOCIATIONANTLSPCSTEZOUGHILOGISTIC;ASSOCIATIONANTLSPCSTEZOUGHILOGISTIC;MARCHANDISES TRANSPORTEES ;11079;01/01/2022;LES ESPACES SAADA  NZAHA 5 66 IMM  40 ;INEZGANE;89363;Emprunteur
44953451;19/90615;Palmares Assurances ;STE STMCJ ;STESTMCJ;STESTMCJ;ACCIDENTS DE TRAVAIL;16540;01/01/2019;ROUTE 107 KM 07 AIN HARROUDA;CASABLANCA;76380;Emprunteur
44953487;19/90523;Palmares Assurances ;SOCIETE CICB;SOCIETECICB;SOCIETECICB;ACCIDENTS DE TRAVAIL;13491;01/01/2019;ROUTE 107 KM 7 AIN HARROUDA ;CASABLANCA;76381;Emprunteur
44953597;19/90072;Palmares Assurances ;TECHLAND S.A.R.L. ;TECHLANDSARL;TECHLANDSARL;ACCIDENTS DE TRAVAIL;14546;01/01/2020;180  OLM SOUISSI II ;RABAT;20632;Emprunteur
44933597;19/98093;SKAY ASSURANCES ;PETRO BIG ;PETROBIG;PETROBIG;ACCIDENTS DE TRAVAIL;14204;01/01/2022;3EME ETAGE IMM DAR AL HADIKA APT 324 A;AGADIR;89367;Emprunteur
44932315;19/97804;TORAYA TAZA ASSURANCE ;SOCIETE FATIMA ZOHRA D EXPLOITATION ;SOCIETEFATIMAZOHRADEXPLOITATION;SOCIETEFATIMAZOHRADEXPLOITATION;ACCIDENTS DE TRAVAIL;18588;01/01/2022;APP 2 IMM SALAEDDINE BP 1138 AV HASSAN V;TAZA;89446;Emprunteur
44909478;19/97804;TORAYA TAZA ASSURANCE ;SOCIETE FATIMA ZOHRA D EXPLOITATION ;SOCIETEFATIMAZOHRADEXPLOITATION;SOCIETEFATIMAZOHRADEXPLOITATION;ACCIDENTS DE TRAVAIL;15844;24/02/2021;APP 2 IMM SALAEDDINE BP 1138 AV HASSAN V;TAZA;89446;Emprunteur
44938982;19/81370;ASSURANCES AL HASSANIA;SOCIETE QUICK MONTAGE SARL;SOCIETEQUICKMONTAGESARL;SOCIETEQUICKMONTAGESARL;ACCIDENTS DE TRAVAIL;19576;01/01/2020;ANGLE BD MOUKAWAMA ET BD PALESTINE IMMEU;MOHAMMADIA;70688;Emprunteur
44904365;19/93337;TORAYA TAZA ASSURANCE ;SOCIETE CHARK DES GRANDS TRAVAUX;SOCIETECHARKDESGRANDSTRAVAUX;SOCIETECHARKDESGRANDSTRAVAUX;ACCIDENTS DE TRAVAIL;15487;01/01/2021; AKNOUL CENTRE;TAZA;80674;Emprunteur
44940205;19/93337;TORAYA TAZA ASSURANCE ;SOCIETE CHARK DES GRANDS TRAVAUX;SOCIETECHARKDESGRANDSTRAVAUX;SOCIETECHARKDESGRANDSTRAVAUX;ACCIDENTS DE TRAVAIL;15487;01/01/2022; AKNOUL CENTRE;TAZA;80674;Emprunteur
44936315;19/94832;TORAYA TAZA ASSURANCE ;EURO MARPIERRE SARL ;EUROMARPIERRESARL;EUROMARPIERRESARL;ACCIDENTS DE TRAVAIL;13529;01/01/2022;AIT MALEK AIT BOUYAHYA EL HAJJAMA ;TIFLET;80801;Emprunteur
44939518;19/91476;Palmares Assurances ;HOT BUSINESS INTERIM SARL ;HOTBUSINESSINTERIMSARL;HOTBUSINESSINTERIMSARL;ACCIDENTS DE TRAVAIL;13927;01/01/2022;9 RUE MLY RACHID APP N 1 HASSAN ;RABAT;76725;Emprunteur
44934993;19/83380;ASSURANCES MERNISSI  CIE ;IRDEN FOOD COMPANY;IRDENFOODCOMPANY;IRDENFOODCOMPANY;ACCIDENTS DE TRAVAIL;17456;01/01/2022;ANGLE BD GHANDI ET BAUDELAIRE QU BEAUSEJ;CASABLANCA;85041;Emprunteur
44937471;19/94601;L HEURE DE L ASSURANCE ASSURHEURE SARL;STE GERRAR SARL ;STEGERRARSARL;STEGERRARSARL;ACCIDENTS DE TRAVAIL;14083;01/01/2022;25 RUE DES SUIPES 2 EME ETAGE ;CASABLANCA;89324;Emprunteur
44939681;19/97443;Otmany Assurances Marrakech ;JOCKER.COM;JOCKERCOM;JOCKERCOM;ACCIDENTS DE TRAVAIL;14049;01/01/2022;427 ANGLE MED V ET MED DIOURI N 141 ETG3;KENITRA;89420;Emprunteur
44939913;19/84578;ASSURANCES PREVASSUR SARL ;HYDRO VERIN ;HYDROVERIN;HYDROVERIN;ACCIDENTS DE TRAVAIL;14224;06/01/2022;RTE 1028 LAAMAMRABOUSKOURA;CASABLANCA;89187;Emprunteur
44929242;19/88000;ASSURANCES EL BOUAYACHI SARL;STE ALMADEN ;STEALMADEN;STEALMADEN;ACCIDENTS DE TRAVAIL;16144;01/01/2020;84 RUE BOURRAKIA 2 EME ETAGE APPT 5 ;TANGER;83427;Emprunteur
