id_debiteur;numero_creance;type_creance;nature_creance;montant_cnss;total;restant;numero_dossier
1;4,30648E+13;;;;63410.42;63410.42;B77983
2;4,30648E+13;;;;55185.85;55185.85;CD231490
3;4,3065E+13;;;;123077.81;123077.81;AB184014
4;4,30651E+13;;;;10145.62;10145.62;B656869
5;4,30651E+13;;;;33342.72;33342.72;I496780
6;4,30652E+13;;;;2288;2288;F172423
7;4,30653E+13;;;;4701;4701;F533445
8;4,30653E+13;;;;7348.11;7348.11;B35932
9;4,30653E+13;;;;1802.95;1802.95;UC86071
10;4,30654E+13;;;;5429.46;5429.46;CD296
11;4,30654E+13;;;;80039.26;62039.26;JB309622
12;4,30654E+13;;;;93086.8;93086.8;A497437
13;4,30654E+13;;;;10332.46;10332.46;BB90892
14;4,30655E+13;;;;93945.56;93945.56;A392321
15;4,30656E+13;;;;1493.8;1493.8;VA103379
16;4,30656E+13;;;;2290.3;2290.3;W195790
17;4,30657E+13;;;;257661.24;224861.24;D854725
18;4,30658E+13;;;;2262.4;2262.4;B96626
19;4,30658E+13;;;;79040.29;29540.29;C559719
20;4,30658E+13;;;;102020.4;34981.4;BB89410
21;4,30658E+13;;;;97593.14;97593.14;H267070
22;4,30659E+13;;;;336928.72;276928.72;BB40152
23;4,30659E+13;;;;57971.69;57971.69;BE825596
24;4,30659E+13;;;;9174.04;9174.04;A396956
25;4,3066E+13;;;;95550.59;23887.59;F703985
26;4,30661E+13;;;;5322;5322;LE19299
27;4,30661E+13;;;;114659.98;114659.98;F401803
28;4,30662E+13;;;;15300.08;15300.08;M228917
29;4,30662E+13;;;;12102.05;2405.05;JK19337
30;4,30664E+13;;;;50894.19;50894.19;C182855
31;4,30664E+13;;;;5235.94;5235.94;D616632
32;4,30666E+13;;;;192011.16;192011.16;C45478
33;4,30666E+13;;;;1786.8;1786.8;Y116431
34;4,30666E+13;;;;87883;87883;K427504
35;4,30667E+13;;;;36144.07;36144.07;BJ388446
36;4,30668E+13;;;;83979.53;83979.53;X180135
37;4,30668E+13;;;;56158.18;56158.18;D418621
38;4,30668E+13;;;;127196.31;127196.31;F529462
39;4,30669E+13;;;;7201.849999999999;3720.6099999999997;EE6998
40;4,3067E+13;;;;14772.36;11107.02;UA50075
41;4,3067E+13;;;;92825.83;92825.83;A379621
42;4,3067E+13;;;;2084.6;1585.6;WA238510
43;4,3067E+13;;;;10183.16;10183.16;T244778
44;4,30671E+13;;;;20110.07;17860.07;F527758
45;4,30671E+13;;;;5241;0;BJ226083
46;4,30671E+13;;;;60454.17;60454.17;AA34
47;4,30672E+13;;;;51175.14;51175.14;BE689622
48;4,30672E+13;;;;307048.33;307048.33;BH405139
49;4,30672E+13;;;;253628.27;253628.27;EE517920
50;4,30673E+13;;;;957.8;957.8;BE511577
51;4,30674E+13;;;;10235.05;10235.05;W401039
52;4,30674E+13;;;;102349.66;102349.66;BE714238
53;4,30675E+13;;;;15490.5;14290.5;BH478143
54;4,30675E+13;;;;246797.57;246797.57;WB154883
55;4,3053E+13;;;;101423.35;101423.35;BJ371002
56;4,3054E+13;;;;169362.64;117851.25;T173089
57;4,30542E+13;;;;146673.38;140673.38;AB156965
58;4,30565E+13;;;;142505.91;142505.91;W134304
59;4,3057E+13;;;;307263.51999999996;307263.51999999996;BE799838
60;4,306E+13;;;;214985.92;214985.92;BK33939
61;487697;;;;100000;100000;A633178
62;345260;;;;100000;100000;Y68343
63;60110;;;;632889.06;632889.06;J6548
64;13050;;;;631070.41;631070.41;C294885
65;417528;;;;610210.55;610210.55;L572
66;133639;;;;609229.86;609229.86;D8217
67;53689;;;;596982.82;596982.82;X6083
68;526257;;;;593180.44;593180.44;EA1248
69;419589;;;;592645.98;592645.98;X42499
70;526131;;;;564089.94;564089.94;F213414
71;245559;;;;561521.61;561521.61;M171196
72;155474;;;;555682.81;555682.81;M31440
73;28253;;;;550925.14;550925.14;D16612
74;55937;;;;546231.22;546231.22;M9820
75;28220;;;;533088.76;533088.76;T28859
76;136779;;;;530008.39;530008.39;Q25273
77;284912;;;;529175.26;529175.26;DA14024
78;254305;;;;520822.62;520822.62;DA4618
79;253613;;;;516925.53;516925.53;ZZ68840
80;12690;;;;506477.06;506477.06;M6615
81;30565;;;;488435.25;488435.25;G4920
